Date,Fiscal Quarter,IQ_NI_CF,IQ_TOTAL_REV,IQ_AR,IQ_GP ,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_AP,IQ_LT_DEBT,IQ_ST_DEBT,IQ_ST_DEBT_REPAID,IQ_LT_DEBT_REPAID,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_NET_CHANGE,IQ_PERIODDATE_BS,IQ_FULL_TIME,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV,IQ_CASH_OPER,IQ_TOTAL_DIV_PAID_CF,IQ_CASH_FINAN,IQ_CAPITAL_LEASES,IQ_INVEST_SECURITY_CF,IQ_NI,CQID


















































































2010-12-31,FQ42010,0.0,0.0,889.6,0.0,1673.0,14176.3,119.0,4953.5,0.0,0.0,0.0,1300.4,7614.7,5210.4,0.0,40543,33000,6561.6,338.0,0.0,0.0,0.0,0.0,0.0,0.0,IQ10081196
2011-03-31,FQ12011,92.8,1352.8,897.6,376.5,1644.7,14114.3,577.2,4478.2,0.0,0.0,-2912.7,1570.3,7383.8,5069.6,46.1,40633,0,6730.5,384.1,260.2,-15.2,-140.1,0.0,0.0,92.8,IQ10081196
2011-06-30,FQ22011,123.5,1413.3,895.8,423.9,1705.6,14161.6,553.2,4322.3,0.0,0.0,0.0,1615.5,7267.2,4939.3,43.2,40724,32000,6894.4,427.3,263.3,-16.9,-157.3,0.0,0.0,123.5,IQ10081196
2011-09-30,FQ32011,0.0,1398.2,860.1,432.9,1604.2,13885.5,515.5,4332.9,0.0,0.0,0.0,1515.9,7134.6,4917.5,0.0,40816,33000,6750.9,386.8,0.0,0.0,0.0,0.0,0.0,136.3,IQ10081196
2011-12-31,FQ42011,117.0,1461.3,915.4,473.2,1674.0,13873.2,100.6,4554.6,0.0,0.0,0.0,1356.3,7222.0,4813.8,28.7,40908,33000,6651.2,415.5,372.4,-12.4,-271.3,0.0,0.0,117.0,IQ10081196
2012-03-31,FQ12012,87.1,1413.4,948.7,423.9,1767.6,13904.4,522.4,4733.9,0.0,0.0,-4598.5,1104.6,7137.3,4850.5,66.2,40999,33000,6767.1,481.7,203.8,-58.8,-75.8,0.0,0.0,87.1,IQ10081196
2012-06-30,FQ22012,0.0,1457.2,952.3,476.1,2157.6,13943.0,552.4,4741.0,0.0,0.0,0.0,1121.3,7137.9,4871.1,0.0,41090,32000,6805.1,533.8,0.0,0.0,0.0,0.0,0.0,150.6,IQ10081196
2012-09-30,FQ32012,86.8,1436.9,952.1,468.1,1875.4,13626.0,673.1,4401.7,0.0,0.0,0.0,1210.8,6849.3,4543.8,42.8,41182,32000,6776.7,576.6,255.3,-58.7,-483.1,0.0,0.0,86.8,IQ10081196
2012-12-31,FQ42012,0.0,0.0,967.7,0.0,1844.2,13549.7,93.4,4241.0,0.0,0.0,0.0,1256.8,6756.1,4395.9,0.0,41274,35000,6793.6,517.6,0.0,0.0,0.0,0.0,0.0,0.0,IQ10081196
