IQID,IQ Name
IQ289194,3M Company
IQ247483,Abbott Laboratories
IQ141885706,AbbVie Inc.
IQ247589,"Abiomed, Inc."
IQ972190,Accenture plc
IQ4222231,"Activision Blizzard, Inc."
IQ24321,Adobe Inc.
IQ168864,"Advanced Micro Devices, Inc."
IQ24937,Apple Inc.
IQ35312,The AES Corporation
IQ250178,Aflac Incorporated
IQ24937,Apple Inc.
IQ248356,"Air Products and Chemicals, Inc."
IQ24522,"Akamai Technologies, Inc."
IQ248501,"Alaska Air Group, Inc."
IQ18671,Albemarle Corporation
IQ873917,Aecon Group Inc.
IQ347983,"Alexion Pharmaceuticals, Inc."
IQ24568,"Align Technology, Inc."
IQ36478,Allergan plc
IQ312949,Alliant Energy Corporation
IQ36478,Allergan plc
IQ29096,Alphabet Inc.
IQ29096,Alphabet Inc.
IQ53839346,Molybdenum
IQ18749,"Amazon.com, Inc."
IQ401715,Amcor plc
IQ373264,Ameren Corporation
IQ168569,American Airlines Group Inc.
IQ135470,"American Electric Power Company, Inc."
IQ92001,American Express Company
IQ250388,"American International Group, Inc."
IQ24766,American Tower Corporation (REIT)
IQ250885,"American Water Works Company, Inc."
IQ4165019,"Ameriprise Financial, Inc."
IQ24809,AmerisourceBergen Corporation
IQ31860,"AMETEK, Inc."
IQ24816,Amgen Inc.
IQ24827,Amphenol Corporation
IQ92816,adidas AG
IQ24893,"ANSYS, Inc."
IQ160077,"Anthem, Inc."
IQ119853,Aon plc
IQ997111,A. O. Smith Corporation
IQ169838,APA Corporation
IQ24937,Apple Inc.
IQ251230,"Applied Materials, Inc."
IQ59502420,Aptiv PLC
IQ251704,Archer-Daniels-Midland Company
IQ33348547,"Arista Networks, Inc."
IQ252186,Arthur J. Gallagher & Co.
IQ4026111,"Assurant, Inc."
IQ27444752,"Tesla, Inc."
IQ135285,Atos SE
IQ119902,"Autodesk, Inc."
IQ126269,"Automatic Data Processing, Inc."
IQ25307,"AutoZone, Inc."
IQ329141,"AvalonBay Communities, Inc."
IQ252978,Avery Dennison Corporation
IQ425005479,Baker Hughes Company
IQ170352,Ball Corporation
IQ19049,Bank of America Corporation
IQ135506,The Bank of New York Mellon Corporation
IQ254571,Baxter International Inc.
IQ103678,"Becton, Dickinson and Company"
IQ255251,Berkshire Hathaway Inc.
IQ255397,"Best Buy Co., Inc."
IQ255743,"Bio-Rad Laboratories, Inc."
IQ29726,Biogen Inc.
IQ403413,"BlackRock, Inc."
IQ370857,The Boeing Company
IQ33254,Booking Holdings Inc.
IQ25708,BorgWarner Inc.
IQ368278,"Boston Properties, Inc."
IQ317627,Boston Scientific Corporation
IQ25798,Bristol-Myers Squibb Company
IQ25016048,Broadcom Inc.
IQ25016048,Broadcom Inc.
IQ256839,Brown-Forman Corporation
IQ368470,"C.H. Robinson Worldwide, Inc."
IQ386024,Cognizant Technology Solutions Corporation
IQ25941,"Cadence Design Systems, Inc."
IQ3133890,"Caesars Entertainment, Inc."
IQ258458,Campbell Soup Company
IQ59490028,Coffee
IQ172207,"Cardinal Health, Inc."
IQ356805,"CarMax, Inc."
IQ258823,Carnival Corporation & plc
IQ620281,Carrier Global Corporation
IQ83345566,"Catalent, Inc."
IQ259378,Caterpillar Inc.
IQ32624297,"Cboe Global Markets, Inc."
IQ4204816,"CBRE Group, Inc."
IQ332700,CDW Corporation
IQ405277,Celanese Corporation
IQ26273,Centene Corporation
IQ279513,"CenterPoint Energy, Inc."
IQ259627,Cerner Corporation
IQ22357184,"CF Industries Holdings, Inc."
IQ34093,The Charles Schwab Corporation
IQ19609,"Charter Communications, Inc."
IQ98506,Chevron Corporation
IQ26446,"Chipotle Mexican Grill, Inc."
IQ4204816,"CBRE Group, Inc."
IQ261105,"Church & Dwight Co., Inc."
IQ19691,"Cisco Systems, Inc."
IQ260681,Cincinnati Financial Corporation
IQ260725,Cintas Corporation
IQ19691,"Cisco Systems, Inc."
IQ53837907,Crude Oil
IQ46051729,"Citizens Financial Group, Inc."
IQ26524,"Citrix Systems, Inc."
IQ89450,The Clorox Company
IQ2004577,CME Group Inc.
IQ257682,CMS Energy Corporation
IQ26642,The Coca-Cola Company
IQ386024,Cognizant Technology Solutions Corporation
IQ262247,Colgate-Palmolive Company
IQ173341,Comcast Corporation
IQ318670,Comerica Incorporated
IQ26893,"Conagra Brands, Inc."
IQ53838182,Copper
IQ690392,Electricité de France S.A.
IQ258589,"Constellation Brands, Inc."
IQ263609,"The Cooper Companies, Inc."
IQ27023,"Copart, Inc."
IQ173840,Corning Incorporated
IQ319130234,"Corteva, Inc."
IQ92817,Costco Wholesale Corporation
IQ27198,Crown Castle International Corp. (REIT)
IQ257948,CSX Corporation
IQ265253,Cummins Inc.
IQ93625,CVS Health Corporation
IQ107405,"D.R. Horton, Inc."
IQ265621,Danaher Corporation
IQ336160,"Darden Restaurants, Inc."
IQ35644,DaVita Inc.
IQ266112,Deere & Company
IQ266311,"Delta Air Lines, Inc."
IQ27504,DENTSPLY SIRONA Inc.
IQ266510,Devon Energy Corporation
IQ114039,"DexCom, Inc."
IQ170245760,"Diamondback Energy, Inc."
IQ11041860,"Digital Realty Trust, Inc."
IQ3695566,Discover Financial Services
IQ22666093,"Discovery, Inc."
IQ22666093,"Discovery, Inc."
IQ110001,DISH Network Corporation
IQ266974,Dollar General Corporation
IQ27685,"Dollar Tree, Inc."
IQ191564,The Walt Disney Company
IQ3132512,"Domino's Pizza, Inc."
IQ174901,Dover Corporation
IQ9830660,Dow Inc.
IQ380011,Deutsche Telekom AG
IQ267850,Duke Energy Corporation
IQ267906,Duke Realty Corporation
IQ768440,"DuPont de Nemours, Inc."
IQ263093,DXC Technology Company
IQ109103,Eastman Chemical Company
IQ175265,Eaton Corporation plc
IQ27862,eBay Inc.
IQ268799,Ecolab Inc.
IQ301891,Edison International
IQ411220,Edwards Lifesciences Corporation
IQ27963,Electronic Arts Inc.
IQ269231,Emerson Electric Co.
IQ40485464,"Enphase Energy, Inc."
IQ269764,Entergy Corporation
IQ269660,"EOG Resources, Inc."
IQ175749,Equifax Inc.
IQ28202,"Equinix, Inc. (REIT)"
IQ28209,Equity Residential
IQ403212338,Essity AB (publ)
IQ207221,The Estée Lauder Companies Inc.
IQ28492682,"Etsy, Inc."
IQ283024,"Evergy, Inc."
IQ207221,The Estée Lauder Companies Inc.
IQ33813,"Revlon, Inc."
IQ296181,Exelon Corporation
IQ25915843,"Expedia Group, Inc."
IQ270071,"Expeditors International of Washington, Inc."
IQ8057672,Extra Space Storage Inc.
IQ406338,Exxon Mobil Corporation
IQ90323,"F5 Networks, Inc."
IQ20765463,"Facebook, Inc."
IQ270747,Fastenal Company
IQ271305,Federal Realty Investment Trust
IQ124423,FedEx Corporation
IQ10081196,"Fidelity National Information Services, Inc."
