GlobalVantageKey,Year,CompanyName,CountryofIncorporation,PrimarySICCode,TickerSymbol,CUSIPNumber,CentralIndexKey,DomesticLTICRSPMthlyAvg
1004,2000,AAR CORP,0,5080,AIR,361105,1750,11
1004,2001,AAR CORP,0,5080,AIR,361105,1750,11
1004,2002,AAR CORP,0,5080,AIR,361105,1750,12
1004,2003,AAR CORP,0,5080,AIR,361105,1750,14.25
1004,2004,AAR CORP,0,5080,AIR,361105,1750,15
1004,2005,AAR CORP,0,5080,AIR,361105,1750,15
1004,2006,AAR CORP,0,5080,AIR,361105,1750,14.75
1004,2007,AAR CORP,0,5080,AIR,361105,1750,14
1004,2008,AAR CORP,0,5080,AIR,361105,1750,14
1004,2009,AAR CORP,0,5080,AIR,361105,1750,14
1004,2010,AAR CORP,0,5080,AIR,361105,1750,14
1004,2011,AAR CORP,0,5080,AIR,361105,1750,14
1004,2012,AAR CORP,0,5080,AIR,361105,1750,14
1004,2013,AAR CORP,0,5080,AIR,361105,1750,14
1004,2014,AAR CORP,0,5080,AIR,361105,1750,14
1010,2000,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2001,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2002,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2003,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2004,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2005,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2006,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2007,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2008,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2009,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1010,2010,ACF INDUSTRIES HOLDING CORP,0,3743,4165A,00099V00X,910627,16
1034,2000,ALPHARMA INC  -CL A,0,2834,ALO.2,02081310X,730469,15
