year,ID,lead_rating,rating,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV
2012,AAL,2.0,2.0,219.0,25.75,193.75,193.25,-1198.25,396.75,1955.25,-1205.5,-61.0,-3153.5,135.75
2013,AAL,2.0,2.0,464.25,10.5,262.5,355.25,5613.0,5.5,4170.25,2797.5,829.0,1442.75,333.25
2014,AAL,-1.0,-1.0,3984.25,1179.0,550.5,1280.0,14205.0,-159.75,4350.5,4030.5,-1028.5,9854.5,393.5
2012,PNW,-1.0,-1.0,15.106249999999932,10.517250000000004,-28.390999999999963,23.654000000000053,549.9677500000016,-15.398499999999956,382.29849999999897,-186.43049999999948,28.667999999999992,167.66924999999992,-166.78574999999998
2013,PNW,-1.0,-1.0,38.20600000000002,6.132999999999996,30.825750000000028,2.9867499999999723,239.1890000000003,-0.1955000000000382,-19.514499999999316,-71.94575000000032,36.231750000000005,258.7034999999996,15.069000000000003
2014,PNW,-1.0,-1.0,9.250999999999976,-2.1197499999999962,-11.32125000000002,-7.60349999999994,303.84349999999904,21.414999999999964,94.0372499999994,87.59450000000015,-4.5747499999999945,209.80625000000055,-16.8095
2012,ABT,0.0,0.0,-4339.31475,308.6377500000001,15.949499999999716,-2916.919750000001,2801.913999999997,74.94400000000019,1894.8869999999952,576.0902500000011,1554.61375,907.0269999999982,2879.58525
2013,ABT,1.0,1.0,-1569.25,-966.0,-3315.9705,-882.75,-20523.223250000003,-620.8712500000001,-18056.371249999997,-10407.169500000004,-1839.0,-2466.8520000000026,-3473.7014999999997
2014,ABT,2.0,2.0,1257.5,46.25,-145.66649999999981,710.0,-1454.3589999999967,-0.03475000000003092,-869.1460000000006,350.02300000000014,1104.75,-585.2129999999997,-749.2069999999999
2012,AMD,-1.0,-1.0,136.25,-462.75,-91.0,-57.25,-495.5,273.25,213.75,73.0,0.75,-709.25,220.75
2013,AMD,-1.0,-1.0,-30.75,275.0,0.25,8.75,-573.25,-128.25,-87.25,0.25,-6.0,-486.0,-336.5
2014,AMD,2.0,2.0,51.75,-80.0,120.75,-34.75,24.5,25.5,29.0,-7.25,8.25,-4.5,78.75
