,IQ Name,IQID,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV,year,quarter
0,"Fidelity National Information Services, Inc.",IQ10081196,0.0,0.0,889.6,0.0,14176.3,119.0,7614.7,5210.4,0.0,6561.6,338.0,2010,4
1,"Fidelity National Information Services, Inc.",IQ10081196,1352.8,92.8,897.6,376.5,14114.3,577.2,7383.8,5069.6,-140.1,6730.5,384.1,2011,1
2,"Fidelity National Information Services, Inc.",IQ10081196,1413.3,123.5,895.8,423.9,14161.6,553.2,7267.2,4939.3,-157.3,6894.4,427.3,2011,2
3,"Fidelity National Information Services, Inc.",IQ10081196,1398.2,0.0,860.1,432.9,13885.5,515.5,7134.6,4917.5,0.0,6750.9,386.8,2011,3
4,"Fidelity National Information Services, Inc.",IQ10081196,1461.3,117.0,915.4,473.2,13873.2,100.6,7222.0,4813.8,-271.3,6651.2,415.5,2011,4
5,"Fidelity National Information Services, Inc.",IQ10081196,1413.4,87.1,948.7,423.9,13904.4,522.4,7137.3,4850.5,-75.8,6767.1,481.7,2012,1
6,"Fidelity National Information Services, Inc.",IQ10081196,1457.2,0.0,952.3,476.1,13943.0,552.4,7137.9,4871.1,0.0,6805.1,533.8,2012,2
7,"Fidelity National Information Services, Inc.",IQ10081196,1436.9,86.8,952.1,468.1,13626.0,673.1,6849.3,4543.8,-483.1,6776.7,576.6,2012,3
8,"Fidelity National Information Services, Inc.",IQ10081196,0.0,0.0,967.7,0.0,13549.7,93.4,6756.1,4395.9,0.0,6793.6,517.6,2012,4
9,"Fidelity National Information Services, Inc.",IQ10081196,1478.0,144.1,981.4,470.0,13699.2,685.4,6900.7,4611.8,68.2,6798.5,590.6,2013,1
10,"Fidelity National Information Services, Inc.",IQ10081196,1512.8,0.0,986.6,487.6,13750.1,656.9,6999.9,4761.1,0.0,6750.2,653.1,2013,2
11,"Fidelity National Information Services, Inc.",IQ10081196,1500.0,172.3,1033.8,504.9,14490.7,668.9,7687.0,4826.1,-97.7,6803.7,811.6,2013,3
12,"Fidelity National Information Services, Inc.",IQ10081196,1573.3,71.9,1023.7,526.4,13960.1,147.0,7222.8,4473.0,-523.8,6737.3,547.5,2013,4
13,"Fidelity National Information Services, Inc.",IQ10081196,1520.3,154.5,1022.8,475.9,14270.9,651.5,7568.5,4782.9,42.4,6702.4,737.7,2014,1
14,"Fidelity National Information Services, Inc.",IQ10081196,1599.1,178.8,1056.4,506.6,14440.8,647.6,7740.7,4927.6,-81.7,6700.1,793.7,2014,2
15,"Fidelity National Information Services, Inc.",IQ10081196,1605.3,150.5,1084.3,530.8,14172.1,639.3,7580.6,4975.4,-168.8,6591.5,611.8,2014,3
16,"Fidelity National Information Services, Inc.",IQ10081196,1689.1,195.3,1160.0,572.2,14520.5,386.5,7829.0,5068.6,10.0,6691.5,492.8,2014,4
