year,ID,lead_rating
2012,AAL,2.0
2013,AAL,2.0
2014,AAL,-1.0
2012,PNW,-1.0
2013,PNW,-1.0
2014,PNW,-1.0
2012,ABT,0.0
2013,ABT,1.0
2014,ABT,2.0
2012,AMD,-1.0
2013,AMD,-1.0
2014,AMD,2.0
2013,APD,0.0
2014,APD,0.0
2012,ALK,-2.0
2013,ALK,-1.0
2014,ALK,-1.0
2012,HON,0.0
2013,HON,0.0
2014,HON,0.0
2012,HES,-1.0
2013,HES,0.0
2014,HES,0.0
2012,AEP,0.0
2013,AEP,0.0
2014,AEP,0.0
2012,AXP,0.0
2013,AXP,0.0
2014,AXP,0.0
2012,AFL,0.0
2013,AFL,0.0
2014,AFL,0.0
2012,AIG,0.0
2013,AIG,0.0
2014,AIG,0.0
2012,AME,0.0
2013,AME,0.0
2014,AME,0.0
2012,AMGN,0.0
2013,AMGN,0.0
2014,AMGN,1.0
2012,ADI,-1.0
2013,ADI,0.0
2014,ADI,0.0
2013,APA,0.0
2014,APA,0.0
2013,AMAT,0.0
2014,AMAT,0.0
2013,ADM,0.0
2014,ADM,0.0
2014,ADSK,0.0
2013,ADP,0.0
2014,ADP,0.0
2012,AVY,0.0
2013,AVY,0.0
2014,AVY,0.0
2012,BLL,0.0
2013,BLL,0.0
2014,BLL,0.0
2012,BK,1.0
2013,BK,1.0
2014,BK,0.0
2013,BAX,1.0
2014,BAX,1.0
2013,BDX,1.0
2014,BDX,1.0
2012,BRK.B,1.0
2013,BRK.B,0.0
2014,BRK.B,1.0
2013,BBY,1.0
2014,BBY,2.0
2012,BIO,-1.0
2013,BIO,0.0
2014,BIO,0.0
2012,BA,0.0
2013,BA,0.0
2014,BA,0.0
2012,BMY,0.0
2013,BMY,0.0
2014,BMY,0.0
2013,BF.B,1.0
2014,BF.B,1.0
2013,CI,0.0
2014,CI,-2.0
2012,CSX,-1.0
2013,CSX,-1.0
2014,CSX,-1.0
2013,CPB,2.0
2014,CPB,1.0
2013,STZ,-1.0
2014,STZ,0.0
2013,CAH,-1.0
2014,CAH,0.0
2012,CAT,0.0
2013,CAT,0.0
2014,CAT,0.0
2012,JPM,1.0
2013,JPM,1.0
2014,JPM,0.0
2012,CVX,0.0
2013,CVX,0.0
2014,CVX,0.0
2012,CB,0.0
2013,CB,0.0
2014,CB,0.0
2013,CHD,-1.0
2014,CHD,-1.0
2013,CTAS,1.0
2014,CTAS,0.0
2013,CLX,0.0
2014,CLX,0.0
2012,KO,0.0
2013,KO,-1.0
2014,KO,-1.0
2012,CL,0.0
2013,CL,0.0
2014,CL,0.0
2012,CMCSA,0.0
2013,CMCSA,0.0
2014,CMCSA,-1.0
2012,CMA,0.0
2013,CMA,0.0
2014,CMA,0.0
2013,CAG,1.0
2014,CAG,1.0
2012,ED,0.0
2013,ED,0.0
2014,ED,0.0
2012,CMS,0.0
2013,CMS,0.0
2014,CMS,-1.0
2013,COO,-1.0
2014,COO,-1.0
2012,TAP,0.0
2013,TAP,0.0
2014,TAP,0.0
2013,GLW,0.0
2014,GLW,-1.0
2012,CMI,-2.0
2013,CMI,-2.0
2014,CMI,0.0
2013,DHR,0.0
2014,DHR,0.0
2013,DE,0.0
2014,DE,0.0
2012,DAL,0.0
2013,DAL,0.0
2014,DAL,-1.0
2012,DTE,-1.0
2013,DTE,0.0
2014,DTE,0.0
2013,DG,-2.0
2014,DG,-1.0
2013,D,0.0
2014,D,0.0
2012,DOV,0.0
2013,DOV,0.0
2014,DOV,0.0
2012,OMC,1.0
2013,OMC,0.0
2014,OMC,0.0
2012,DD,0.0
2013,DD,0.0
2014,DD,0.0
2012,DUK,0.0
2013,DUK,1.0
2014,DUK,1.0
2012,FLS,0.0
2013,FLS,-1.0
2014,FLS,-1.0
2012,PKI,0.0
2013,PKI,0.0
2014,PKI,0.0
2013,ECL,2.0
2014,ECL,0.0
2013,EMR,0.0
2014,EMR,0.0
2013,ATO,0.0
2014,ATO,-1.0
2012,EFX,0.0
2013,EFX,0.0
2014,EFX,0.0
2012,XOM,0.0
2013,XOM,0.0
2014,XOM,0.0
2013,FMC,-1.0
2014,FMC,-1.0
2012,NEE,1.0
2013,NEE,0.0
2014,NEE,0.0
2013,FDX,0.0
2014,FDX,0.0
2013,FRT,0.0
2014,FRT,-1.0
2012,RF,1.0
2013,RF,-1.0
2014,RF,-1.0
2012,MTB,0.0
2013,MTB,0.0
2014,MTB,0.0
2012,F,-2.0
2013,F,-2.0
2014,F,-1.0
2013,BEN,0.0
2014,BEN,0.0
2013,GPS,0.0
2014,GPS,-1.0
2012,GD,0.0
2013,GD,0.0
2014,GD,0.0
2012,GE,0.0
2013,GE,0.0
2014,GE,0.0
2013,GIS,0.0
2014,GIS,0.0
2012,GM,-1.0
2013,GM,-2.0
2014,GM,0.0
2012,GWW,0.0
2013,GWW,0.0
2014,GWW,0.0
2013,HAL,0.0
2014,HAL,0.0
2012,HAS,-1.0
2013,HAS,-1.0
2014,HAS,1.0
2012,HSY,0.0
2013,HSY,0.0
2014,HSY,0.0
2013,HPQ,2.0
2014,HPQ,0.0
2013,HLT,1.0
2014,HLT,2.0
2012,HFC,-1.0
2013,HFC,-1.0
2014,HFC,-1.0
2013,HD,-1.0
2014,HD,-1.0
2013,HRL,0.0
2014,HRL,0.0
2013,CNP,-1.0
2014,CNP,-1.0
2013,JBHT,-1.0
2014,JBHT,-1.0
2012,HBAN,-2.0
2013,HBAN,0.0
2014,HBAN,0.0
2012,ITW,0.0
2013,ITW,0.0
2014,ITW,0.0
2012,INTC,0.0
2013,INTC,0.0
2014,INTC,0.0
2012,IBM,0.0
2013,IBM,-1.0
2014,IBM,-1.0
2012,IFF,0.0
2013,IFF,0.0
2014,IFF,-1.0
2012,IP,0.0
2013,IP,0.0
2014,IP,0.0
2012,IPG,-2.0
2013,IPG,-1.0
2014,IPG,0.0
2012,JNJ,0.0
2013,JNJ,0.0
2014,JNJ,0.0
2013,JCI,0.0
2014,JCI,0.0
2013,KLAC,0.0
2014,KLAC,0.0
2012,KMI,0.0
2013,KMI,0.0
2014,KMI,0.0
2013,KSU,-2.0
2014,KSU,-1.0
2013,K,0.0
2014,K,0.0
2012,KMB,0.0
2013,KMB,0.0
2014,KMB,0.0
2013,KR,0.0
2014,KR,0.0
2013,LRCX,-2.0
2014,LRCX,-1.0
2012,LEG,1.0
2013,LEG,0.0
2014,LEG,0.0
2012,LEN,1.0
